Model,GDT_TS,GDT_HA,Z_GDT_TS,Z_GDT_HA,LLG_Original_deltaLLG,LLG_B_from_rms_deltaLLG,LLG_const_B_deltaLLG,Z_LLG_Original_deltaLLG,Z_LLG_B_from_rms_deltaLLG,Z_LLG_const_B_deltaLLG
R1052-D2TS100_1,75.23,54.34,0.2685382369192389,0.1228925651751805,614.8860776170422,612.5751038083163,607.4206594665047,0.27637620324214074,0.2885851704398853,0.28282436341196276
R1052-D2TS100_2,78.99,60.68,0.8968436442553364,1.139041241198914,1285.8804841313795,1283.5695103226535,1278.415065980842,0.9645677511430002,0.9368013661991713,0.9753376897473359
R1052-D2TS100_3,77.58,57.63,0.6612291165042998,0.650200001155951,1006.2020629015678,1003.8910890928419,998.7366447510303,0.6777213575635627,0.6666171731783641,0.6866899276948752
R1052-D2TS100_4,74.53,53.52,0.1515664855534753,0.0,454.6127598755211,452.3017860667951,447.14734172498356,0.1119951867196327,0.13375264233011738,0.11741104950885288
R1052-D2TS100_5,75.7,55.05,0.3470764128362511,0.23668839482452514,686.1267694664912,683.8157956577652,678.6613513159537,0.34944274675043274,0.357407458383835,0.35634975796685914
R1052-D2TS149_1,79.93,61.27,1.053919996089363,1.2336039728793569,1351.80823582827,605.2137122983931,1342.4486515856206,1.032185187368137,0.28147367568861703,1.0414248447725225
R1052-D2TS149_2,78.4,58.33,0.7982531681041949,0.7623930726412207,1007.5127386582699,543.1115740697969,999.8631040218042,0.6790656250701825,0.22147971538099434,0.6878525127313696
R1052-D2TS149_3,80.16,61.74,1.092353571538112,1.3089336065908954,1299.8629262471513,541.0042339696047,1294.0696016820093,0.9789085539718559,0.2194439130409812,0.9914942694228174
R1052-D2TS149_4,75.35,55.05,0.2885905371533681,0.23668839482452514,614.0788610445798,357.24927104736344,607.8635936156952,0.27554829824457155,0.04192686988691316,0.2832815025446075
R1052-D2TS149_5,79.81,61.15,1.0338676958552315,1.2143708749104527,1198.178865817681,576.5497648733981,1187.9288129146735,0.8746183985481737,0.2537827817334861,0.881949525121648
R1052-D2TS192_1,56.34,35.91,0.0,0.0,134.5461438824059,0.0,106.54699271675963,-0.2162745242544564,-0.30319487951645074,-0.23411241827676763
R1052-D2TS192_2,73.24,52.23,0.0,0.0,602.4316173040206,266.0518235640575,553.8347431831735,0.26360254337571526,-0.046174702788898306,0.22751993647512564
R1052-D2TS192_3,68.19,46.48,0.0,0.0,387.72984179594823,0.0,355.6815092768229,0.04339810383124632,-0.30319487951645074,0.023011890201768224
R1052-D2TS192_4,70.78,50.12,0.0,0.0,725.7605432273758,249.25499564101847,664.9644066928831,0.3900923078329853,-0.06240132970469668,0.3422135496922954
R1052-D2TS192_5,74.41,53.64,0.13151418531934372,0.01069949368990971,604.0308464437403,259.51007460286564,546.9765710971697,0.26524275969708383,-0.05249437935261856,0.22044182148974023
R1052-D2TS193_1,80.4,61.27,1.132458172006375,1.2336039728793569,1337.7767857109284,1191.206722466215,1323.4806232656865,1.0177941204951513,0.8475740128967213,1.021848508131957
R1052-D2TS193_2,79.11,60.33,0.916895944489468,1.0829447054562789,1170.7967401890855,1005.9170736747219,1158.7634897217085,0.8465344872097021,0.6685743817714364,0.8518488643979214
R1052-D2TS193_3,78.4,59.16,0.7982531681041949,0.8954220002594695,1259.901862059456,1062.9047692044478,1244.4884397664973,0.937923314226034,0.7236275190893225,0.9403230300975156
R1052-D2TS193_4,77.58,58.69,0.6612291165042998,0.8200923665479308,910.2184534154076,1011.7706367446899,901.6122813636393,0.5792777518582134,0.6742292342530876,0.586450767271754
R1052-D2TS193_5,76.29,56.92,0.4456668889873948,0.5364041715066052,876.107546335239,756.6498184666016,865.5442384437356,0.5442926048645894,0.42776898856744044,0.5492260152702844
R1052-D2TS220_1,77.93,57.4,0.7197149921871827,0.6133365633822186,1070.7914500908519,939.5843303412839,1030.0229408553078,0.7439661278868628,0.6044934324811987,0.7189795813395865
R1052-D2TS220_2,77.93,57.63,0.7197149921871827,0.650200001155951,1071.9920856285844,937.1936701077302,1031.9113039982785,0.7451975349167205,0.6021839278610375,0.7209285046521684
R1052-D2TS220_3,77.93,57.4,0.7197149921871827,0.6133365633822186,1074.8621346882865,931.6822302824494,1034.4570872508157,0.7481411414293413,0.5968595845848266,0.7235559316638207
R1052-D2TS220_4,78.17,57.51,0.7598195926554435,0.6309669031870467,1080.1381478350522,933.5838636652225,1039.0608567206837,0.7535523752920492,0.5986966633222089,0.7283073449070716
R1052-D2TS220_5,78.17,57.63,0.7598195926554435,0.650200001155951,1084.3089633543786,931.4281125051984,1042.456257292888,0.7578300860455037,0.5966140933299887,0.7318116366294319
R1052-D2TS233_1,78.29,58.1,0.7798718928895751,0.7255296348674894,977.0499320397994,974.7389582310734,969.5845138892619,0.6478220769323162,0.6384546681231321,0.6566028823829468
R1052-D2TS233_2,69.6,50.35,0.0,0.0,633.2491285408105,630.9381547320845,625.783710390273,0.2952098869758968,0.3063248518690847,0.30177632091477524
R1052-D2TS233_3,77.7,57.4,0.6812814167384313,0.6133365633822186,977.9524380226376,975.6414642139116,970.4870198721001,0.6487477135446177,0.63932653678428,0.6575343319064377
R1052-D2TS233_4,70.42,50.59,0.0,0.0,753.4275638707622,751.1165900620363,745.9621457202247,0.41846841585642874,0.42242359636766524,0.4258089018068592
R1052-D2TS233_5,69.95,50.47,0.0,0.0,752.5918872031689,750.2809133944429,745.1264690526314,0.41761132135037576,0.4216162883706192,0.42494642482762146
R1052-D2TS236_1,77.93,57.63,0.7197149921871827,0.650200001155951,628.821684812996,679.7246187704986,617.6829708406549,0.2906689708032617,0.3534551644566492,0.2934157890879534
R1052-D2TS236_2,77.35,56.45,0.6227955410555484,0.4610745377950667,619.3937828748385,661.9661840074805,609.2061345433722,0.28099943799451177,0.33629957431615654,0.28466709901834963
R1052-D2TS236_3,77.23,56.81,0.6027432408214192,0.5187738317017772,690.0446780767161,738.9251106500269,677.9541108188714,0.3534610687585271,0.41064598044656814,0.35561983613085196
R1052-D2TS236_4,77.47,56.92,0.6428478412896801,0.5364041715066052,638.9468470970442,680.5144522877072,628.3762326865235,0.30105363427788584,0.35421818553825213,0.3044519859002727
R1052-D2TS236_5,77.58,57.16,0.6612291165042998,0.5748703674444113,607.4272393386673,645.0612952711599,596.0733631567236,0.26872619988815993,0.319968554921649,0.271113157124535
